species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Andrias japonicus,1.0,21.0,0.0,1.0,19.0
Cryptobranchus alleganiensis,1.0,18.0,0.0,1.0,15.0
Ambystoma talpoideum,1.0,13.0,0.0,1.0,30.0
Ambystoma mexicanum,1.5,15.5,0.0,1.0,29.0
Ambystoma tigrinum,1.0,15.0,0.0,1.0,36.5
Ambystoma maculatum,1.0,14.0,0.0,1.0,29.0
Ambystoma jeffersonianum,1.0,15.0,0.0,1.0,38.0
Ambystoma macrodactylum,1.0,15.0,0.0,1.0,39.0
Ambystoma texanum,1.0,16.0,0.0,1.0,33.0
Ambystoma opacum,1.0,14.0,0.0,1.0,29.0
Salamandra salamandra,1.0,14.0,0.0,1.0,16.0
Pleurodeles waltl,1.0,12.0,0.0,1.0,38.3
Cynops pyrrhogaster,1.0,14.0,0.0,1.0,36.0
Taricha torosa,1.0,12.0,0.0,1.0,32.0
Amphiuma means,1.0,60.0,0.0,1.0,34.0
Plethodon cinereus,1.0,19.0,0.0,1.0,35.0
Eurycea sosorum,1.0,17.0,0.0,2.0,32.0
Eurycea waterlooensis,1.0,14.0,0.0,1.0,28.0
Rhyacotriton olympicus,1.0,17.0,0.0,1.0,25.0
Necturus maculosus,1.0,18.0,0.0,2.0,23.0
Leiopelma hochstetteri,1.0,9.0,0.0,1.0,3.0
Ascaphus truei,1.0,8.0,0.0,1.0,3.0
Megophrys feae,1.0,7.0,0.0,1.0,3.0
Pelobates fuscus,1.0,7.0,0.0,1.0,2.0
Ceratophrys ornata,1.0,7.0,0.0,1.0,3.0
Rhinella marina,1.0,7.0,0.0,1.0,3.0
Rhinella margaritifera,1.0,7.0,0.0,1.0,3.0
Anaxyrus woodhousii,1.0,7.0,0.0,1.0,3.0
Anaxyrus microscaphus,1.0,7.0,0.0,1.0,3.0
Anaxyrus cognatus,1.0,7.0,0.0,1.0,3.0
Bufo bufo,1.0,7.0,0.0,1.0,2.5
Osteopilus septentrionalis,1.0,7.0,0.0,1.0,3.0
Dryophytes gratiosus,1.0,7.0,0.0,1.0,3.0
Dryophytes japonicus,1.0,7.0,0.0,1.0,3.0
Boana boans,1.0,7.0,0.0,1.0,3.0
Agalychnis moreletii,1.0,7.0,0.0,1.0,3.0
Ischnocnema guentheri,1.0,7.0,0.0,1.0,3.0
Brachycephalus albolineatus,1.0,7.0,0.0,1.0,3.0
Pristimantis pulvinatus,1.0,7.0,0.0,1.0,3.0
Haddadus binotatus,1.0,7.0,0.0,1.0,3.0
Eleutherodactylus gossei,1.0,7.0,0.0,1.0,3.0
Pyxicephalus adspersus,1.0,7.0,0.0,1.0,3.0
Lithobates clamitans melanotus,1.0,7.0,0.0,1.0,3.0
Lithobates pipiens,1.0,7.0,0.0,1.0,3.0
Rana temporaria,1.0,7.0,0.0,1.0,3.0
Rana dalmatina,1.0,7.0,0.0,1.0,2.0
Sylvirana guentheri,1.0,7.0,0.0,1.0,3.0
Pelophylax lessonae,1.0,7.0,0.0,1.0,3.0
Boophis albilabris,1.0,7.0,0.0,1.0,3.0
Raorchestes signatus,1.0,7.0,0.0,1.0,3.0
Pseudophilautus microtympanum,1.0,7.0,0.0,1.0,3.0
Kurixalus idiootocus,1.0,7.0,0.0,1.0,3.0
Rhacophorus reinwardtii,1.0,7.0,0.0,1.0,3.0
Polypedates leucomystax,1.0,7.0,0.0,1.0,3.0
Polypedates cruciger,1.0,7.0,0.0,1.0,3.0
Taruga eques,1.0,7.0,0.0,1.0,3.0
Chiromantis rufescens,1.0,7.0,0.0,1.0,3.0
Theloderma stellatum,1.0,7.0,0.0,1.0,3.0
Nyctixalus pictus,1.0,7.0,0.0,1.0,3.0
Buergeria oxycephala,1.0,7.0,0.0,1.0,3.0
Hoplobatrachus tigerinus,1.0,7.0,0.0,1.0,3.0
Hypopachus ustum,1.0,7.0,0.0,1.0,3.0
Hamptophryne boliviana,1.0,7.0,0.0,1.0,3.0
Kaloula pulchra,1.0,7.0,0.0,1.0,3.0
Dyscophus guineti,1.0,7.0,0.0,1.0,3.0
Hemisus guineensis,1.0,7.0,0.0,1.0,3.0
Callulina kreffti,1.0,7.0,0.0,1.0,3.0
Pipa pipa,1.0,6.0,0.0,1.0,3.0
Xenopus laevis,1.0,7.0,0.0,1.0,4.0
Xenopus tropicalis,1.0,7.0,0.0,1.0,3.0
Bombina variegata,1.0,7.0,0.0,1.0,2.0
Bombina bombina,1.0,7.0,0.0,1.0,2.0
Discoglossus pictus,1.0,7.0,0.0,1.0,3.0
Herpele squalostoma,1.0,121.0,0.0,0.0,2.0
Siphonops annulatus,1.0,162.0,0.0,0.0,5.0
Microcaecilia dermatophaga,1.0,111.33,0.0,0.0,4.0
Dermophis mexicanus,1.0,104.5,0.0,0.0,2.0
Potomotyphlus kaupii,1.0,91.0,0.0,0.0,12.0
Ichthyophis glutinosus,1.0,108.0,0.0,0.0,4.0
