Common Name,Species,Class,Lumbar,A7,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,3377.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,3447.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,11516.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,14102.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,7006.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,5777.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,12683.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,11937.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,11629.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,13545.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,6955.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,5428.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,5068.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,10880.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,4386.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4534.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,1393.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,10669.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,5218.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,14048.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,3701.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,5625.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,14198.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,10067.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,13614.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,11747.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,15186.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,5705.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,11795.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,11821.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,15018.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,4289.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,12204.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,5696.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,10979.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,14230.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,6653.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,6975.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,6182.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,12790.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,26983.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,12349.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,19548.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,12392.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,13424.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,5682.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,11271.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,12635.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,5740.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,12461.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,5822.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,12166.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,6731.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,5881.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,15761.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,13068.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,6366.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,27291.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,53157.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,11373.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,5818.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,10046.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,10542.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,8862.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,8520.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,8194.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,13811.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,13149.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,11319.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,22385.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,22776.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,14531.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,13250.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,12040.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,12583.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,12463.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,14340.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,22790.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,23699.0,0,0,0,1,0
