Common Name,Species,Class,Cervical,B8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,10168.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,4156.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,5834.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,11795.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,13053.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,6058.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,7253.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,7863.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,4051.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,8326.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,8351.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,5993.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,13624.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,6049.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,14680.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,14071.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,14516.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-25458.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,6221.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,15954.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,5992.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,13488.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,4928.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,-3904.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,-4681.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,35830.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,-3816.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,3621.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,7495.0,0,1,0,0,0
