Common Name,Species,Class,Sacral,C9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,10806.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,19655.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,10117.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,16375.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,19521.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,10604.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,19750.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,17935.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,18057.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,9921.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,10727.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,10751.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,14576.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,10154.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,9728.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,10398.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,18419.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,9549.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,9859.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,17850.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,18192.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,18232.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,9515.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,18433.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,9686.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,9851.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,5134.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,17796.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,18162.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,18174.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,9882.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,18191.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,8900.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,18210.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,10558.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,17953.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,11285.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,11293.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,17736.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,18362.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,11225.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,10675.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,18126.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,19843.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,18124.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,21280.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,22635.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,17919.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,11355.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,11317.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,11006.0,0,0,1,0,0
