Common Name,Species,Class,Cervical,D8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,10638.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,10984.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,26250.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,49807.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,2311.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,8782.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,8905.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,-1776.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,9742.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,3990.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,4974.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,4981.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,5723.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,10195.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,4733.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,3812.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,4753.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4792.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,10628.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,4886.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,10409.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,10099.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,12979.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,4814.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,11609.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,4647.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,11504.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,7738.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,5109.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,4407.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,10619.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,9242.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,11608.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,4743.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,4768.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,4754.0,0,1,0,0,0
