Sorex minutus
Erinaceus europaeus
Talpa europaea
Paradoxurus hermaphroditus
Genetta genetta
Crocuta crocuta
Herpestes ichneumon
Felis catus
Panthera leo
Panthera pardus
Vulpes vulpes
Odobenus rosmarus
Phoca groenlandica
Taxidea taxus
Martes zibellina
Mustela nivalis
Mustela erminea
Mellivora capensis
Potos flavus
Equus caballus
Equus zebra
Dicerorhinus sumatrensis
Hippopotamus amphibius
Orcinus orca
Moschus moschiferus
Tetracerus quadricornis
Bos taurus
Bison bonasus
Gazella dorcas
Hippotragus equinus
Connochaetes gnou
Ovis ammon
Alces alces
Rangifer tarandus
Giraffa camelopardalis
Tragulus napu
Tragulus javanicus
Phacochoerus aethiopicus
Sus scrofa
Tayassu pecari
Vicugna pacos
Oryctolagus cuniculus
Lepus timidus
Sciurus vulgaris
Marmota marmota
Rattus fuscipes
Mus musculus
Hydromys chrysogaster
Pedetes capensis
Castor canadensis
Hystrix cristata
Hystrix brachyura
Myocastor coypus
Chinchilla lanigera
Myoprocta acouchy
Hydrochoerus hydrochaeris
Cavia porcellus
Callithrix jacchus
Cebus capucinus
Saimiri sciureus
Ateles paniscus
Ateles belzebuth
Cercopithecus mona
Macaca radiata
Macaca mulatta
Macaca nemestrina
Pongo pygmaeus
Homo sapiens
Pan troglodytes
Indri indri
