species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Dromaius novaehollandiae,18.25,8.333333333,0.0,15.0,7.0
Apteryx australis,15.0,9.0,0.0,13.0,9.0
Callipepla californica,12.0,6.0,0.0,13.0,6.0
Gallus gallus,14.0,6.0,0.0,12.0,6.0
Pavo muticus,13.0,6.0,0.0,13.0,5.0
Argusianus argus,12.0,8.0,0.0,12.0,5.0
Lagopus lagopus,15.0,6.0,0.0,13.0,6.5
Lagopus muta,12.0,6.0,0.0,15.0,6.0
Tetrao urogallus,14.0,6.5,0.0,18.0,6.0
Lyrurus tetrix tetrix,13.0,6.0,0.0,16.0,6.0
Perdix perdix,12.0,6.0,0.0,13.0,6.0
Lophura nycthemera,14.0,5.0,0.0,13.0,5.0
Chrysolophus pictus,13.0,7.0,0.0,15.0,5.0
Phasianus colchicus,13.0,5.5,0.0,14.0,6.0
Pternistis capensis,15.0,7.0,0.0,14.0,6.0
Coturnix japonica,13.0,6.0,0.0,12.0,7.0
Crax rubra,15.0,7.0,0.0,17.0,5.0
Penelope montagnii,14.0,7.0,0.0,14.0,6.0
Tadorna tadorna,16.0,6.0,0.0,15.0,7.0
Tadorna ferruginea,16.0,6.0,0.0,17.0,7.0
Dendrocygna arcuata,15.0,6.0,0.0,18.0,6.0
Biziura lobata,14.8,6.4,0.0,15.0,9.2
Oxyura leucocephala,13.0,6.0,0.0,13.0,7.0
Cygnus cygnus,23.0,5.5,0.0,21.0,7.0
Cygnus atratus,22.0,7.5,0.0,19.0,8.0
Cygnus olor,23.33333333,6.5,0.0,20.0,9.0
Anser cygnoides,17.0,6.0,0.0,19.0,6.0
Branta bernicla,17.0,7.0,0.0,18.0,6.0
Cereopsis novaehollandiae,17.5,6.5,0.0,17.0,6.0
Coscoroba coscoroba,20.0,7.0,0.0,19.0,8.0
Anas zonorhyncha,15.0,6.0,0.0,15.0,6.0
Melanitta nigra,14.0,6.0,0.0,16.0,6.0
Mergellus albellus,15.0,6.0,0.0,15.0,6.0
Bucephala clangula,15.0,6.0,0.0,16.0,6.0
Aythya marila,15.0,6.0,0.0,16.0,6.0
