Pyxicephalus adspersus
Lithobates clamitans melanotus
Lithobates pipiens
Rana temporaria
Rana dalmatina
Sylvirana guentheri
Pelophylax lessonae
Boophis albilabris
Raorchestes signatus
Pseudophilautus microtympanum
Kurixalus idiootocus
Rhacophorus reinwardtii
Polypedates leucomystax
Polypedates cruciger
Taruga eques
Chiromantis rufescens
Theloderma stellatum
Nyctixalus pictus
Buergeria oxycephala
Hoplobatrachus tigerinus
Hypopachus ustum
Hamptophryne boliviana
Kaloula pulchra
Dyscophus guineti
Hemisus guineensis
Callulina kreffti
