species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Andrias japonicus,1.0,21.0,0.0,1.0,19.0
Cryptobranchus alleganiensis,1.0,18.0,0.0,1.0,15.0
Ambystoma talpoideum,1.0,13.0,0.0,1.0,30.0
Ambystoma mexicanum,1.5,15.5,0.0,1.0,29.0
Ambystoma tigrinum,1.0,15.0,0.0,1.0,36.5
Ambystoma maculatum,1.0,14.0,0.0,1.0,29.0
Ambystoma jeffersonianum,1.0,15.0,0.0,1.0,38.0
Ambystoma macrodactylum,1.0,15.0,0.0,1.0,39.0
Ambystoma texanum,1.0,16.0,0.0,1.0,33.0
Ambystoma opacum,1.0,14.0,0.0,1.0,29.0
Salamandra salamandra,1.0,14.0,0.0,1.0,16.0
Pleurodeles waltl,1.0,12.0,0.0,1.0,38.3
Cynops pyrrhogaster,1.0,14.0,0.0,1.0,36.0
Taricha torosa,1.0,12.0,0.0,1.0,32.0
Amphiuma means,1.0,60.0,0.0,1.0,34.0
Plethodon cinereus,1.0,19.0,0.0,1.0,35.0
Eurycea sosorum,1.0,17.0,0.0,2.0,32.0
Eurycea waterlooensis,1.0,14.0,0.0,1.0,28.0
Rhyacotriton olympicus,1.0,17.0,0.0,1.0,25.0
Necturus maculosus,1.0,18.0,0.0,2.0,23.0
